"Codi";"Nom";"Codi comarca";"Nom comarca";"negatius";"positius"
259118;"Plans de Sió, els";32;"Segarra";0;0
251689;"Poal, el";27;"Pla d'Urgell";0;1
81653;"Pobla de Claramunt, la";6;"Anoia";17;12
251692;"Pobla de Cérvoles, la";18;"Garrigues";1;0
81666;"Pobla de Lillet, la";14;"Berguedà";0;0
431093;"Pobla de Mafumet, la";36;"Tarragonès";7;1
431107;"Pobla de Massaluca, la";37;"Terra Alta";3;1
431114;"Pobla de Montornès, la";36;"Tarragonès";1;2
251713;"Pobla de Segur, la";25;"Pallars Jussà";13;26
431129;"Poboleda";29;"Priorat";1;0
81672;"Polinyà";40;"Vallès Occidental";19;18
431135;"Pont d'Armentera, el";1;"Alt Camp";2;0
250306;"Pont de Bar, el";4;"Alt Urgell";0;0
171352;"Pont de Molins";2;"Alt Empordà";1;0
251734;"Pont de Suert, el";5;"Alta Ribagorça";1;2
81825;"Pont de Vilomara i Rocafort, el";7;"Bages";2;7
431418;"Pontils";16;"Conca de Barberà";0;0
81688;"Pontons";3;"Alt Penedès";0;0
251728;"Ponts";23;"Noguera";2;4
171365;"Pontós";2;"Alt Empordà";0;0
171371;"Porqueres";28;"Pla de l'Estany";8;7
431140;"Porrera";29;"Priorat";2;1
171404;"Port de la Selva, el";2;"Alt Empordà";0;1
171387;"Portbou";2;"Alt Empordà";0;0
251749;"Portella, la";33;"Segrià";3;0
431153;"Pradell de la Teixeta";29;"Priorat";0;0
431166;"Prades";8;"Baix Camp";1;0
431172;"Prat de Comte";37;"Terra Alta";0;0
81691;"Prat de Llobregat, el";11;"Baix Llobregat";215;296
431188;"Pratdip";8;"Baix Camp";1;0
81712;"Prats de Lluçanès";24;"Osona";4;4
81705;"Prats de Rei, els";6;"Anoia";0;2
251752;"Prats i Sansor";15;"Cerdanya";0;0
251765;"Preixana";38;"Urgell";0;0
251771;"Preixens";23;"Noguera";0;0
82303;"Premià de Dalt";21;"Maresme";26;15
81727;"Premià de Mar";21;"Maresme";73;59
171390;"Preses, les";19;"Garrotxa";3;5
251790;"Prullans";15;"Cerdanya";0;0
81751;"Puig-reig";14;"Berguedà";11;4
171411;"Puigcerdà";15;"Cerdanya";10;10
81748;"Puigdàlber";3;"Alt Penedès";2;0
251804;"Puiggròs";18;"Garrigues";1;1
431191;"Puigpelat";1;"Alt Camp";2;0
251811;"Puigverd d'Agramunt";38;"Urgell";0;2
251826;"Puigverd de Lleida";33;"Segrià";3;2
81764;"Pujalt";6;"Anoia";0;0
81770;"Quar, la";14;"Berguedà";0;0
171426;"Quart";20;"Gironès";10;4
170433;"Queralbs";31;"Ripollès";0;0
431205;"Querol";1;"Alt Camp";0;0
171432;"Rabós";2;"Alt Empordà";1;0
81786;"Rajadell";7;"Bages";0;1
431212;"Rasquera";30;"Ribera d'Ebre";1;0
171447;"Regencós";10;"Baix Empordà";0;0
81799;"Rellinars";40;"Vallès Occidental";1;0
431227;"Renau";36;"Tarragonès";0;0
431233;"Reus";8;"Baix Camp";258;41
251832;"Rialp";26;"Pallars Sobirà";1;0
431248;"Riba, la";1;"Alt Camp";0;0
431251;"Riba-roja d'Ebre";30;"Ribera d'Ebre";1;0
259059;"Ribera d'Ondara";32;"Segarra";0;1
251850;"Ribera d'Urgellet";4;"Alt Urgell";1;1
171450;"Ribes de Freser";31;"Ripollès";0;0
171463;"Riells i Viabrea";34;"Selva";10;7
431264;"Riera de Gaià, la";36;"Tarragonès";1;0
251863;"Riner";35;"Solsonès";0;0
171479;"Ripoll";31;"Ripollès";7;5
81803;"Ripollet";40;"Vallès Occidental";102;115
259139;"Riu de Cerdanya";15;"Cerdanya";0;0
171485;"Riudarenes";34;"Selva";5;2
171498;"Riudaura";19;"Garrotxa";0;1
431270;"Riudecanyes";8;"Baix Camp";2;0
431286;"Riudecols";8;"Baix Camp";0;0
171501;"Riudellots de la Selva";34;"Selva";5;0
431299;"Riudoms";8;"Baix Camp";14;1
171518;"Riumors";2;"Alt Empordà";0;0
81810;"Roca del Vallès, la";41;"Vallès Oriental";27;20
431303;"Rocafort de Queralt";16;"Conca de Barberà";1;0
431310;"Roda de Berà";36;"Tarragonès";7;5
81831;"Roda de Ter";24;"Osona";8;15
431325;"Rodonyà";1;"Alt Camp";0;2
431331;"Roquetes";9;"Baix Ebre";23;3
171523;"Roses";2;"Alt Empordà";6;2
251898;"Rosselló";33;"Segrià";5;3
431346;"Rourell, el";1;"Alt Camp";0;0
81859;"Rubió";6;"Anoia";0;0
81846;"Rubí";40;"Vallès Occidental";153;141
89019;"Rupit i Pruit";24;"Osona";0;2
171539;"Rupià";10;"Baix Empordà";0;0
81878;"Sabadell";40;"Vallès Occidental";637;899
81884;"Sagàs";14;"Berguedà";0;0
81901;"Saldes";14;"Berguedà";0;1
171544;"Sales de Llierca";19;"Garrotxa";0;0
81918;"Sallent";7;"Bages";7;11
431359;"Salomó";36;"Tarragonès";0;0
439057;"Salou";36;"Tarragonès";57;11
171557;"Salt";20;"Gironès";64;61
251902;"Salàs de Pallars";25;"Pallars Jussà";0;2
251919;"Sanaüja";32;"Segarra";1;0
81944;"Sant Adrià de Besòs";13;"Barcelonès";118;119
81957;"Sant Agustí de Lluçanès";24;"Osona";0;0
171576;"Sant Andreu Salou";20;"Gironès";1;0
81976;"Sant Andreu de Llavaneres";21;"Maresme";32;22
81960;"Sant Andreu de la Barca";11;"Baix Llobregat";40;43
171833;"Sant Aniol de Finestres";19;"Garrotxa";0;0
81982;"Sant Antoni de Vilamajor";41;"Vallès Oriental";25;8
81995;"Sant Bartomeu del Grau";24;"Osona";2;1
82009;"Sant Boi de Llobregat";11;"Baix Llobregat";230;214
82016;"Sant Boi de Lluçanès";24;"Osona";4;2
431362;"Sant Carles de la Ràpita";22;"Montsià";22;1
82037;"Sant Cebrià de Vallalta";21;"Maresme";5;0
82021;"Sant Celoni";41;"Vallès Oriental";73;18
171582;"Sant Climent Sescebes";2;"Alt Empordà";0;1
82042;"Sant Climent de Llobregat";11;"Baix Llobregat";12;18
82068;"Sant Cugat Sesgarrigues";3;"Alt Penedès";0;2
